entradas,saidas
-1.62764,0.164154
0.035723,0.50893
1.66771,0.84127
-0.255693,0.436423
-1.02009,0.26501
-1.07723,0.25403
-1.02308,0.264427
-1.91928,0.127942
-1.54775,0.175411
-0.168473,0.457981
1.29477,0.784953
0.295516,0.573346
0.605407,0.646892
1.6553,0.839607
-0.582387,0.358384
0.968372,0.724795
-0.608633,0.352371
0.1401,0.534968
1.80973,0.85933
-1.29217,0.215486
0.741081,0.677232
-1.05451,0.258359
-0.0890676,0.477748
-0.497741,0.378072
-1.82648,0.138658
-1.54251,0.176171
-1.64612,0.161634
1.61937,0.834708
-0.940964,0.280706
1.26179,0.779333
-0.729904,0.325216
0.0919593,0.522974
-0.683194,0.335549
-1.2133,0.229118
1.25188,0.777626
1.74636,0.851493
-0.243078,0.439528
-0.652841,0.34235
-1.22676,0.226749
1.70221,0.845823
-1.11521,0.246901
-0.914283,0.286124
1.82539,0.861211
1.92347,0.872525
0.953393,0.721797
1.52297,0.820975
-1.77656,0.144729
-0.0429408,0.489266
-0.570009,0.361235
1.08759,0.747928
1.97122,0.877742
-0.469274,0.384788
0.5277,0.628947
0.868106,0.704351
-0.396777,0.402087
-0.921969,0.284557
1.08326,0.74711
-0.244846,0.439093
-0.144767,0.463871
-0.266796,0.433694
0.968476,0.724816
1.28854,0.783899
-0.432608,0.393504
-0.860741,0.297184
0.61018,0.647982
1.71728,0.847778
-0.973481,0.274187
1.76195,0.853454
-1.70317,0.154052
0.633008,0.653171
0.60221,0.646162
-0.370328,0.408462
0.235762,0.558669
-1.77729,0.144637
-0.702773,0.331198
-1.28346,0.216962
-1.51894,0.179618
-0.676914,0.33695
-1.49453,0.183243
-1.70241,0.15415
1.86639,0.86604
1.4846,0.815267
-0.253335,0.437003
-1.87634,0.13281
-1.23676,0.225
-0.141171,0.464766
0.149404,0.537282
1.49879,0.817394
-0.171208,0.457302
-0.537512,0.368767
-0.830746,0.303487
-0.232592,0.442113
1.3871,0.80013
1.60615,0.832877
-1.66578,0.158987
0.0990668,0.524746
-1.51449,0.180275
1.33976,0.792451
0.790193,0.687873
0.698019,0.667748
-0.845662,0.300344
-0.737611,0.323527
1.7611,0.853347
-1.08416,0.25272
1.61227,0.833727
-1.03738,0.261656
-0.357719,0.411512
-1.51208,0.18063
1.16259,0.761804
0.932128,0.717507
-1.77891,0.144438
-0.106469,0.473408
-1.44483,0.190798
0.759268,0.681195
-0.126846,0.468331
1.88531,0.86822
-1.6453,0.161745
1.70712,0.846463
-1.66432,0.159183
-1.31289,0.212003
-1.58672,0.169846
-1.09912,0.249905
-1.37027,0.202575
-1.10744,0.248349
-0.0642153,0.483952
1.50165,0.81782
-0.700802,0.331634
-1.42962,0.193158
1.55047,0.824982
-0.486579,0.3807
-0.38238,0.405553
-1.5875,0.169735
0.655735,0.658302
-0.733446,0.324439
-0.425348,0.395238
1.29377,0.784785
-0.22489,0.444013
0.472357,0.615941
1.07674,0.745877
-1.53064,0.1779
0.18634,0.546451
0.272309,0.56766
-1.9584,0.12364
-0.795252,0.311042
1.01743,0.734472
-0.336076,0.416763
-1.13382,0.243458
-1.72464,0.151275
0.213104,0.553075
-0.10021,0.474969
-1.12752,0.244618
-1.7778,0.144575
-1.53391,0.177422
-1.72818,0.15082
1.40927,0.803651
0.849962,0.700559
-0.528331,0.370906
1.45189,0.81029
-0.270631,0.432752
-1.33284,0.208689
0.63065,0.652637
0.140723,0.535123
-0.244947,0.439068
-0.864988,0.296298
0.983816,0.727865
-0.191883,0.452176
-0.211355,0.447357
0.733367,0.675544
0.877473,0.706298
0.436963,0.607535
0.967586,0.724638
1.15955,0.761251
0.977519,0.726616
-1.59034,0.169336
0.532002,0.62995
0.622826,0.650861
0.355396,0.587926
0.363494,0.589886
-0.379339,0.406286
-0.35547,0.412056
1.9343,0.873724
0.823415,0.694961
-0.462132,0.38648
-1.75135,0.147877
1.76304,0.85359
0.205871,0.551287
0.480319,0.617823
-1.80455,0.141299
1.47218,0.813388
-1.40057,0.197726
1.20115,0.76873
-0.620791,0.349602
-0.930767,0.282769
0.599062,0.645442
-0.30908,0.423339
1.90328,0.870262
-0.929241,0.283079
-1.64659,0.16157
-1.65159,0.160894
0.761548,0.68169
-0.4343,0.3931
-0.131031,0.467289
-0.832353,0.303148
0.98992,0.729072
0.0712278,0.517799
-1.97078,0.122305
1.98582,0.8793
1.26683,0.7802
0.407106,0.600394
1.73437,0.849971
0.545109,0.633
1.30876,0.787306
-1.99902,0.119306
1.2543,0.778043
-1.14693,0.241051
-1.99334,0.119904
-0.0186358,0.495341
-1.35713,0.204707
0.419306,0.603317
0.802894,0.690593
0.89195,0.709292
0.615419,0.649176
1.48775,0.81574
1.13558,0.756867
0.663081,0.659952
-1.36815,0.202919
-1.20334,0.230881
1.19916,0.768376
-1.55384,0.174533
-0.679771,0.336312
0.275158,0.568359
-0.230164,0.442712
-1.89296,0.130908
0.942409,0.719586
1.30058,0.785933
-1.50933,0.181038
0.578315,0.64068
-1.3068,0.213023
1.00608,0.732253
0.98833,0.728758
-1.79556,0.142393
