entradas,saidas
-1.62764,-1
0.035723,0.342772
1.66771,1
-0.255693,-0.988046
-1.02009,-1
-1.07723,-1
-1.02308,-1
-1.91928,-1
-1.54775,-1
-0.168473,-0.933473
1.29477,1
0.295516,0.994592
0.605407,0.999989
1.6553,1
-0.582387,-0.999983
0.968372,1
-0.608633,-0.99999
0.1401,0.885567
1.80973,1
-1.29217,-1
0.741081,0.999999
-1.05451,-1
-0.0890676,-0.711728
-0.497741,-0.999905
-1.82648,-1
-1.54251,-1
-1.64612,-1
1.61937,1
-0.940964,-1
1.26179,1
-0.729904,-0.999999
0.0919593,0.725705
-0.683194,-0.999998
-1.2133,-1
1.25188,1
1.74636,1
-0.243078,-0.984642
-0.652841,-0.999996
-1.22676,-1
1.70221,1
-1.11521,-1
-0.914283,-1
1.82539,1
1.92347,1
0.953393,1
1.52297,1
-1.77656,-1
-0.0429408,-0.404827
-0.570009,-0.999978
1.08759,1
1.97122,1
-0.469274,-0.999832
0.5277,0.999948
0.868106,1
-0.396777,-0.999285
-0.921969,-1
1.08326,1
-0.244846,-0.985172
-0.144767,-0.895232
-0.266796,-0.990415
0.968476,1
1.28854,1
-0.432608,-0.999651
-0.860741,-1
0.61018,0.99999
1.71728,1
-0.973481,-1
1.76195,1
-1.70317,-1
0.633008,0.999994
0.60221,0.999988
-0.370328,-0.998786
0.235762,0.982244
-1.77729,-1
-0.702773,-0.999998
-1.28346,-1
-1.51894,-1
-0.676914,-0.999997
-1.49453,-1
-1.70241,-1
1.86639,1
1.4846,1
-0.253335,-0.987473
-1.87634,-1
-1.23676,-1
-0.141171,-0.887857
0.149404,0.904066
1.49879,1
-0.171208,-0.936902
-0.537512,-0.999957
-0.830746,-1
-0.232592,-0.981092
1.3871,1
1.60615,1
-1.66578,-1
0.0990668,0.757647
-1.51449,-1
1.33976,1
0.790193,1
0.698019,0.999998
-0.845662,-1
-0.737611,-0.999999
1.7611,1
-1.08416,-1
1.61227,1
-1.03738,-1
-0.357719,-0.998438
-1.51208,-1
1.16259,1
0.932128,1
-1.77891,-1
-0.106469,-0.787452
-1.44483,-1
0.759268,0.999999
-0.126846,-0.85338
1.88531,1
-1.6453,-1
1.70712,1
-1.66432,-1
-1.31289,-1
-1.58672,-1
-1.09912,-1
-1.37027,-1
-1.10744,-1
-0.0642153,-0.566363
1.50165,1
-0.700802,-0.999998
-1.42962,-1
1.55047,1
-0.486579,-0.999881
-0.38238,-0.999046
-1.5875,-1
0.655735,0.999996
-0.733446,-0.999999
-0.425348,-0.999596
1.29377,1
-0.22489,-0.977978
0.472357,0.999842
1.07674,1
-1.53064,-1
0.18634,0.952992
0.272309,0.991412
-1.9584,-1
-0.795252,-1
1.01743,1
-0.336076,-0.997594
-1.13382,-1
-1.72464,-1
0.213104,0.972206
-0.10021,-0.762474
-1.12752,-1
-1.7778,-1
-1.53391,-1
-1.72818,-1
1.40927,1
0.849962,1
-0.528331,-0.999948
1.45189,1
-0.270631,-0.99112
-1.33284,-1
0.63065,0.999993
0.140723,0.886905
-0.244947,-0.985201
-0.864988,-1
0.983816,1
-0.191883,-0.957821
-0.211355,-0.971231
0.733367,0.999999
0.877473,1
0.436963,0.99968
0.967586,1
1.15955,1
0.977519,1
-1.59034,-1
0.532002,0.999952
0.622826,0.999992
0.355396,0.998364
0.363494,0.998609
-0.379339,-0.998986
-0.35547,-0.998367
1.9343,1
0.823415,1
-0.462132,-0.999806
-1.75135,-1
1.76304,1
0.205871,0.967949
0.480319,0.999865
-1.80455,-1
1.47218,1
-1.40057,-1
1.20115,1
-0.620791,-0.999992
-0.930767,-1
0.599062,0.999987
-0.30908,-0.995874
1.90328,1
-0.929241,-1
-1.64659,-1
-1.65159,-1
0.761548,1
-0.4343,-0.999662
-0.131031,-0.864354
-0.832353,-1
0.98992,1
0.0712278,0.612103
-1.97078,-1
1.98582,1
1.26683,1
0.407106,0.999418
1.73437,1
0.545109,0.999963
1.30876,1
-1.99902,-1
1.2543,1
-1.14693,-1
-1.99334,-1
-0.0186358,-0.184231
-1.35713,-1
0.419306,0.999544
0.802894,1
0.89195,1
0.615419,0.999991
1.48775,1
1.13558,1
0.663081,0.999997
-1.36815,-1
-1.20334,-1
1.19916,1
-1.55384,-1
-0.679771,-0.999998
0.275158,0.991885
-0.230164,-0.980161
-1.89296,-1
0.942409,1
1.30058,1
-1.50933,-1
0.578315,0.999981
-1.3068,-1
1.00608,1
0.98833,1
-1.79556,-1
0.864562,1
-0.95382,-1
1.71199,1
-1.67304,-1
1.95701,1
-1.15883,-1
-0.290725,-0.99405
1.56684,1
0.517913,0.999937
-1.8083,-1
-1.29894,-1
0.899031,1
-1.80116,-1
1.4209,1
-0.912367,-1
0.76211,1
-1.91993,-1
-1.84346,-1
-0.718922,-0.999999
-0.927955,-1
-0.332425,-0.997411
-1.63279,-1
1.92406,1
1.33497,1
0.275426,0.991929
-0.801561,-1
-1.83268,-1
0.36814,0.998732
0.261263,0.9893
0.70837,0.999999
1.10392,1
1.88783,1
-1.91968,-1
1.6232,1
-0.671868,-0.999997
1.14233,1
-1.30577,-1
1.26977,1
0.489471,0.999888
-1.04947,-1
-1.07662,-1
0.851122,1
-0.523875,-0.999944
-1.49409,-1
-1.18737,-1
-1.2829,-1
-1.87042,-1
1.24379,1
-1.18886,-1
-1.29773,-1
1.99876,1
-1.89555,-1
-1.8968,-1
0.264824,0.990032
0.409066,0.99944
-0.807869,-1
0.241281,0.984085
-0.114113,-0.814793
0.543577,0.999962
-0.834535,-1
1.68147,1
-1.53316,-1
1.3397,1
-0.196589,-0.961536
0.0571161,0.516212
0.459021,0.999794
-1.9694,-1
1.05156,1
0.736512,0.999999
1.30086,1
1.7642,1
-1.24199,-1
-0.843606,-1
1.46104,1
-0.366388,-0.998687
-1.95011,-1
0.553373,0.999969
-0.986381,-1
1.38929,1
-1.54791,-1
0.203067,0.966132
1.83249,1
-1.53269,-1
-1.99469,-1
-1.02071,-1
0.155342,0.914347
-1.18953,-1
-0.491001,-0.999891
0.211075,0.971072
-1.12663,-1
0.266584,0.990375
-1.50621,-1
0.665494,0.999997
-1.43933,-1
1.30547,1
-1.05047,-1
0.727473,0.999999
1.025,1
-1.11976,-1
-1.31631,-1
0.303317,0.995371
0.0163447,0.162007
-1.5112,-1
-0.967091,-1
0.840377,1
-1.08198,-1
-1.51334,-1
1.20729,1
1.87265,1
1.16611,1
-1.77162,-1
1.48761,1
0.388476,0.999156
1.79912,1
-0.537563,-0.999957
0.0386294,0.368161
0.607478,0.999989
0.305105,0.995534
-0.141425,-0.888393
-1.1753,-1
-0.471436,-0.999839
-1.21969,-1
1.37219,1
0.444014,0.999722
1.94413,1
-0.301247,-0.995176
-0.722037,-0.999999
1.41282,1
1.24801,1
0.115436,0.819192
-1.08786,-1
-0.670888,-0.999997
1.67739,1
-1.48206,-1
-1.57685,-1
0.260081,0.989045
0.924962,1
-0.769634,-1
1.5922,1
-0.204062,-0.966788
-1.12113,-1
-1.31851,-1
-0.746,-0.999999
-0.0958604,-0.743653
-0.998783,-1
